"SAMPLE_NAME","shannon","observed_otus","chao1","simpson","faith_pd"
"10317.000040033",3.20829302228085,58,100.857142857143,0.753694,8.87259879637292
"10317.000103839",4.89451877891154,78,132.166666666667,0.942152,9.6245152810174
"10317.000087089",2.92214781119636,52,61.0666666666667,0.779494,8.63679235327841
"10317.000011026",5.30541045693796,124,199.2,0.940782,17.2236262396389
"10317.000039608",6.30273287745779,155,209.473684210526,0.976068,18.4167067875257
"10317.000084344",4.75902395575797,97,120.625,0.916074,11.4284459649578
"10317.000026461",4.54068339355963,68,78.9285714285714,0.928028,8.08338622756649
"10317.000039690",4.61772931087197,74,99,0.929578,9.94275366778617
"10317.000043160",5.97558902553689,169,234,0.966328,17.9682019901039
"10317.000006759",3.03749606626462,63,79.8666666666667,0.711348,8.85632143548733
"10317.000093397",5.25638535229881,89,100.176470588235,0.95798,10.4226267157407
"10317.000015861",5.46932632607127,140,195.034482758621,0.953074,16.2657014443549
"10317.000093640",4.57552857707514,72,89.1,0.929586,10.7502976009122
"10317.000031298",6.11725048640324,150,201.041666666667,0.974758,17.2371366587694
"10317.000021277",4.09635452911733,61,73.3636363636364,0.896208,8.36229116349533
"10317.000107311",4.38116858172275,100,160.545454545455,0.864752,12.7001407146759
"10317.000074863",5.64994292152444,125,148.785714285714,0.963628,16.4704292831911
"10317.000030982",5.35848943529354,106,139.3,0.955836,13.8697734615084
"10317.000026548",5.93168666754288,167,311.391304347826,0.96885,23.3411626364456
"10317.000068291",5.17442798351556,108,202.090909090909,0.947878,14.7678010989528
"10317.000028886",4.25208173477195,102,152.647058823529,0.853484,13.1557708983582
"10317.000041167",4.47857975870203,84,111.1875,0.907388,10.8078183448648
"10317.000033677",4.6935914576569,104,157.117647058824,0.89899,13.4147284881006
"10317.000014142",5.59485460950243,137,201.166666666667,0.959234,16.2802467245266
"10317.000106812",4.1039793957952,70,87.2727272727273,0.841954,9.49525172078123
"10317.000040414",5.72984545968733,132,157.551724137931,0.963614,16.2956432665505
"10317.000093587",3.25440543488883,62,75.5714285714286,0.777892,9.29982721581168
"10317.000031837",4.31858064380059,77,95.0555555555556,0.91283,10.972867221773
"10317.000067525",5.80382235999182,127,202.2,0.968396,14.7652108738045
"10317.000069635",5.32806535971943,114,138.391304347826,0.947986,13.9368959117659
"10317.000017687",3.78636643366699,61,121,0.8641,9.36232353055674
"10317.000023832",5.08986387130213,118,174,0.934766,13.6567057904978
"10317.000039542",4.80785001414108,97,142.111111111111,0.895012,12.7777875804091
"10317.000023015",4.00949764386004,69,88.0909090909091,0.825358,9.30645863681954
"10317.000014942",4.82385663984532,87,128.333333333333,0.938982,10.9100833946292
"10317.000107245",5.388510986202,109,199.3,0.952414,13.078316103253
"10317.000065298",5.26049237288959,99,162.076923076923,0.956736,13.2734036848722
"10317.000023139",5.40960779126999,142,185.965517241379,0.936612,14.3730182159969
"10317.000078775",4.52690610740368,76,97.2307692307692,0.894652,11.2810381238161
"10317.000023894",4.67506195898649,86,100.055555555556,0.926266,10.6056677976486
"10317.000093652",3.60563567424709,74,103.25,0.777926,10.4159261901278
"10317.000052356",5.80776958774924,135,213.4,0.967778,17.0399857970578
"10317.000069339",4.91920060610794,97,122.2,0.930718,12.4425707698601
"10317.000039774",5.92211199277998,178,243.085714285714,0.958108,19.978930844375
"10317.000036166",4.77729387052174,78,92.25,0.927872,10.6588678700979
